Q1 How do you describe yourself,Q2 Choose one or more races that you consider yourself to be,Q3 What is the highest level of education you have completed?,Q4 My political preferences lean...,Q5 I take pride in the U.S. Constitution and feel that its core values align with my personal beliefs.,Q6 I would rather be a citizen of America than any other country.,Q7 It would be disrespectful for myself or another American to criticize U.S. policies.,"Q8 At this moment, which government do you feel most morally aligned with?",Q9 Indicate your level of agreement: I felt the need to defend and support the U.S. after reading the Prime Minister's remarks.,"Q10 The Prime Minister's remarks reflect my own concerns and I felt understood, even if I felt the need to defend the U.S.",Q11 I believe the Prime Minister�s message was sincere.,Q12 I support the Prime Minister's right to comment on this issue.,"Q13 After reading this article, my view on the Canadian Prime Minister is...","Q14 After reading this article, my view of the U.S. government is...","Q15 Based on the article you read, how much do you support the U.S. government's data policy?",Treatment,Nationalism,Message_Efficacy,Defensive_Alignment,Q15,Nationalism,,,,,,,,,Moral Alignment,,,Defensive Nationalism,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Neither agree nor disagree,Somewhat agree,Strongly disagree,Canada,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Extremely positive,Somewhat negative,Not at all,Direct,0.5,0.33,-0.33,1,Q5 I take pride in the U.S. Constitution and feel that its core values align with my personal beliefs.,,,Q6 I would rather be a citizen of America than any other country.,,,Q7 It would be disrespectful for myself or another American to criticize U.S. policies.,,,"Q8 At this moment, which government do you feel most morally aligned with?",,,Q9 Indicate your level of agreement: I felt the need to defend and support the U.S. after reading the Prime Minister's remarks.,,,"Q10 The Prime Minister's remarks reflect my own concerns and I felt understood, even if I felt the need to defend the U.S.",,,Q11 I believe the Prime Minister�s message was sincere.,,Q12 I support the Prime Minister's right to comment on this issue.,,"Q13 After reading this article, my view on the Canadian Prime Minister is...",,"Q14 After reading this article, my view of the U.S. government is...",,,"Q15 Based on the article you read, how much do you support the U.S. government's data policy?",,
Female,Black or African American,"Some college, but no degree",Very conservative,Strongly disagree,Strongly disagree,Strongly disagree,Canada,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Not at all,Direct,0.75,-0.33,0.33,1,Response,Nationalism,Marker,Response,Nationalism,Marker,Response,Nationalism,Marker,Q8 Response,Message_Efficacy,Defensive_Alignment,Q9 Response,Message_Efficacy,Defensive_Alignment,Q10 Response,Message_Efficacy,Defensive_Alignment,Q11 Response,Message_Efficacy,Q12 Response,Message_Efficacy,Q13 Response,Message_Efficacy,Q14 Response,Message_Efficacy,Defensive_Alignment,Q15 Response,Message_Efficacy,Defensive_Alignment
Male,White or Caucasian,Associates or technical degree,Very liberal,Strongly disagree,Strongly disagree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,Indirect,0.75,1.00,-1.00,1,Strongly disagree,-1,low,Strongly disagree,-1,low,Strongly disagree,-1,low,Canada,1,-1,Strongly Disagree,1,-1,Strongly Disagree,-1,1,Strongly Disagree,1,Strongly Disagree,-1,Extremely negative,-1,Extremely negative,1,-1,Not at all,1,-1
Male,White or Caucasian,"Some college, but no degree",Very liberal,Somewhat agree,Neither agree nor disagree,Strongly disagree,The United States,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Not at all,Direct,0.5,0.00,0.00,1,Somewhat disagree,-1,low,Somewhat disagree,-1,low,Somewhat disagree,-1,low,The United States,-1,1,Somewhat disagree,1,-1,Somewhat disagree,-1,1,Somewhat disagree,1,Somewhat disagree,-1,Somewhat negative,-1,Somewhat negative,1,-1,Not sure,1,-1
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Mostly,Indirect,0.25,-0.33,0.33,-1,Neither agree nor disagree,0,low,Neither agree nor disagree,0,low,Neither agree nor disagree,0,low,Neither,0,0,Neither agree nor disagree,0,0,Neither agree nor disagree,0,0,Neither agree nor disagree,0,Neither agree nor disagree,0,Neither positive nor negative,0,Neither positive nor negative,0,0,Slightly,0,0
Male,Other,"Some college, but no degree",Very conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat negative,Somewhat positive,Mostly,Indirect,0.75,-0.33,0.33,-1,Somewhat agree,1,high,Somewhat agree,1,high,Somewhat agree,1,high,Other (please specify),0,0,Somewhat agree,-1,1,Somewhat agree,1,-1,Somewhat agree,-1,Somewhat agree,1,Somewhat positive,1,Somewhat positive,-1,1,Somewhat,0,0
Male,Black or African American,"Some college, but no degree",Moderate,Strongly agree,Somewhat agree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,Indirect,0.75,1.00,-1.00,1,Strongly agree,1,high,Strongly agree,1,high,Strongly agree,1,high,,,,Strongly Agree,-1,1,Strongly agree,1,-1,Strongly agree,-1,Strongly agree,1,Extremely positive,1,Extremely positive,-1,1,Mostly,-1,1
Non-binary / third gender,Asian,Bachelor’s degree,Moderate,Somewhat agree,Somewhat agree,Strongly disagree,Neither,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not sure,Indirect,0.75,0.67,-0.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extremely,-1,1
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,Direct,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Somewhat agree,Strongly agree,Somewhat agree,The United States,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat positive,Mostly,Indirect,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
