StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,QID47,QID52,Q1,Q1_4_TEXT,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q8_5_TEXT,Q9,Q9,Q10,Q11,Q12,Q13,Q14,QID53,PROLIFIC_PID,FL_22_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Online Consent Form for Research Participation
Study Number: IRB25-0965



We are researchers at the University of Chicago conducting a study on how people respond to foreign political public messaging. In this study, you will be asked to read an article and respond to questions about your opinions, experiences, and views.



To ensure that responses reflect natural reactions, we have not disclosed the full purpose of the study in advance. You will be debriefed at the end of the study.



Participants are recruited through Prolific, a secure online research platform that connects researchers with eligible individuals. Prolific will direct you to this survey, which is hosted on Qualtrics. Your responses will be de-identified by Prolific and remain anonymous to the researchers. Learn more here.



Participation should take approximately 10 minutes. Some questions may touch on political or identity-related topics that you may find sensitive. 



If you have questions or concerns about the study, you can contact the researcher through Prolific’s messaging system per guidelines to ensure personal data remains anonymized. Learn more here.



If you have any additional questions about your rights as a participant in this research, feel you have been harmed, or wish to discuss other study-related concerns with someone who is not part of the research team, you can contact the University of Chicago Social & Behavioral Sciences Institutional Review Board (IRB) Office by phone at (773) 702-2915, or by email at sbs-irb@uchicago.edu.



Eligibility:

You must be at least 18 years old and a U.S. citizen or current resident to participate in this study.

Your participation is voluntary and you may choose not to participate or to withdraw at any time. Tto receive compensation, you must complete the entire survey through to the end.



By selecting the checkbox below, you confirm that you meet the eligibility criteria and agree to participate in this research study. You also acknowledge that you have read and understood the information above and voluntarily give your consent to proceed.","What is your Prolific ID?

Please note that the response should auto-fill with the correct ID.",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Choose one or more races that you consider yourself to be,What is the highest level of education you have completed?,My political preferences lean...,I take pride in the U.S. Constitution and feel that its core values align with my personal beliefs.,I would rather be a citizen of America than any other country.,It would be disrespectful for myself or another American to criticize U.S. policies.,"At this moment, which government do you feel most morally aligned with? - Selected Choice","At this moment, which government do you feel most morally aligned with? - Other (please specify) - Text","Indicate your level of agreement:


I felt the need to defend and support the U.S. after reading the Prime Minister's remarks.","The Prime Minister's remarks reflect my own concerns and I felt understood, even if I felt the need to defend the U.S.",I believe the Prime Minister’s message was sincere.,I support the Prime Minister's right to comment on this issue.,"After reading this article, my view on the Canadian Prime Minister is...","After reading this article, my view of the U.S. government is...","Based on the article you read, how much do you support the U.S. government's data policy?","Thank you for your participation in our research study. Before you are redirected to Prolific to register your response, we’d like to debrief you with more information and explain what we are trying to study.



This experiment examines whether foreign leaders who bypass formal diplomatic channels to speak directly to the citizens of another country influence how their critical messages are received. More specifically, it tests whether a foreign leader who criticizes another government while appealing to the public in a spirit of friendship and shared values would be less likely to trigger defensive nationalism which is commonly observed in other forms of international criticism.

To ensure our dataset contains authentic reactions, we did not disclose the full intention of the study nor that the news article you were given is entirely fictional and created solely for research purposes. 

You were randomly assigned to one of two versions of a news article. In one, a fictional Canadian Prime Minister criticized U.S. digital policy by directly addressing the American public. In the other, the criticism was delivered indirectly, without speaking to U.S. citizens. Now that you have been fully informed of the true purpose and procedures of this study, we are requesting your permission to retain your data for research purposes.



Participation is voluntary, and you may withdraw your consent if you prefer that your data not be used in our analysis. Since you have completed the survey, you will not lose your ability to receive compensation. However, if you choose to give consent, your participant ID will be entered into a raffle for an additional $25.00 to be transferred to you if selected. We value your participation in this study.



If you have any questions about your rights as a participant in this research, please message us through Prolific's messaging board. You can also contact the University of Chicago Social & Behavioral Sciences Institutional Review Board (IRB) Office by phone at (773) 702-2915, or by email at sbs-irb@uchicago.edu.



Please select whether you consent to us using your data and proceed to the next section.",PROLIFIC_PID,FL_22 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID47""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_4_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID57""}","{""ImportId"":""QID57_5_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID36""}","{""ImportId"":""QID25""}","{""ImportId"":""QID58""}","{""ImportId"":""QID26""}","{""ImportId"":""QID56""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""FL_22_DO""}"
2025-06-22 22:48:09,2025-06-22 22:55:43,IP Address,100,453,True,2025-06-22 22:55:43,R_12tDmS7wFcNo96I,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",68030581ede88c1e30299528,Female,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Neither agree nor disagree,Somewhat agree,Strongly disagree,Canada,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Extremely positive,Somewhat negative,Not at all,I consent.,68030581ede88c1e30299528,FL_24
2025-06-22 23:26:20,2025-06-22 23:26:25,Survey Preview,100,4,True,2025-06-22 23:26:25,R_2V2BEA7jjH9t1Pf,preview,EN,1,I do NOT agree to participate in the research (You will be exited from the survey),,,,,,,,,,,,,,,,,,,,,
2025-06-22 23:40:33,2025-06-22 23:41:44,IP Address,100,70,True,2025-06-22 23:41:44,R_3h6KOJxrUeF7mT2,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",671724d63bb81e6f00449783,Female,,Black or African American,"Some college, but no degree",Very conservative,Strongly disagree,Strongly disagree,Strongly disagree,Canada,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Not at all,I consent.,671724d63bb81e6f00449783,FL_24
2025-06-22 23:40:40,2025-06-22 23:42:21,IP Address,100,100,True,2025-06-22 23:42:21,R_3fkt14NGkWG3ahK,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",66940be4d73031b9ce31521f,Male,,White or Caucasian,Associates or technical degree,Very liberal,Strongly disagree,Strongly disagree,Strongly disagree,Canada,,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,I consent.,66940be4d73031b9ce31521f,FL_23
2025-06-22 23:41:06,2025-06-22 23:43:14,IP Address,100,128,True,2025-06-22 23:43:14,R_1pGsHSmbcX0SGke,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",6643d35c8bbc62751f1c746c,Male,,White or Caucasian,"Some college, but no degree",Very liberal,Somewhat agree,Neither agree nor disagree,Strongly disagree,The United States,,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Not at all,I consent.,6643d35c8bbc62751f1c746c,FL_24
2025-06-22 23:41:54,2025-06-22 23:43:28,IP Address,100,94,True,2025-06-22 23:43:29,R_21gmGbmLoHIGod9,anonymous,EN,,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",68453ddbe3d262dafac1d881,Female,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,The United States,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Mostly,I consent.,68453ddbe3d262dafac1d881,FL_23
2025-06-22 23:40:53,2025-06-22 23:43:35,IP Address,100,161,True,2025-06-22 23:43:35,R_1LpnXGZDOmeICc0,anonymous,EN,0.5,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",679327e8a39b3fcc97d882bf,Male,,Other,"Some college, but no degree",Very conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat negative,Somewhat positive,Mostly,I consent.,679327e8a39b3fcc97d882bf,FL_23
2025-06-22 23:40:38,2025-06-22 23:43:40,IP Address,100,181,True,2025-06-22 23:43:41,R_2To48sW7ehBzaKT,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",67ad36abfb121731457f8390,Male,,Black or African American,"Some college, but no degree",Moderate,Strongly agree,Somewhat agree,Strongly disagree,Canada,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,I consent.,67ad36abfb121731457f8390,FL_23
