Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,FL_22_DO,DV1,DV2,DV1_avg,DV2_avg,,,,
1,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Neither agree nor disagree,Somewhat agree,Strongly disagree,Canada,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Extremely positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,Q8 Response,DV1 (Toward Speaker),DV2 (Toward Gov),Rationale
1,Female,Black or African American,"Some college, but no degree",Very conservative,Strongly disagree,Strongly disagree,Strongly disagree,Canada,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Not at all,FL_24,4,2,High,Low,Canada,5,1,"Strong pro-speaker, anti-home gov"
0.899999976,Male,White or Caucasian,Associates or technical degree,Very liberal,Strongly disagree,Strongly disagree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,FL_23,5,1,High,Low,The United States,1,5,"Strong pro-home gov, low receptivity to speaker"
1,Male,White or Caucasian,"Some college, but no degree",Very liberal,Somewhat agree,Neither agree nor disagree,Strongly disagree,The United States,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Not at all,FL_24,4,3,High,Low,Neither,3,3,Ambivalent to both
,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Mostly,FL_23,3,4,Low,High,Other (please specify),2,2,Unclear/outsider alignment; leaning disinterested
0.5,Male,Other,"Some college, but no degree",Very conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat negative,Somewhat positive,Mostly,FL_23,2,4,Low,High,,,,
1,Male,Black or African American,"Some college, but no degree",Moderate,Strongly agree,Somewhat agree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23,5,1,High,Low,Q9 Response,DV1 (Speaker),DV2 (Gov),Rationale
1,Non-binary / third gender,Asian,Bachelor’s degree,Moderate,Somewhat agree,Somewhat agree,Strongly disagree,Neither,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not sure,FL_23,4,2,High,Low,Strongly Disagree,5,1,Full agreement with speaker�s critique
0.800000012,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_24,5,2,High,Low,Somewhat disagree,4,2,"Leans toward speaker, slightly skeptical of gov"
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Somewhat agree,Strongly agree,Somewhat agree,The United States,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat positive,Mostly,FL_23,3,4,Low,High,Neither agree nor disagree,3,3,"No clear reaction, ambivalent"
